Tid;Måling 1;Måling 2;Måling 3;Måling 4
0;0.081;0.049;0.039;0.050
0.5;0.097;0.062;0.048;0.057
1.0;0.112;0.075;0.059;0.062
15;0.151;0.088;0.068;0.068
2.0;0.149;0.102;0.079;0.075
2.5;0.169;0.117;0.090;0.081
3.0;0.188;0.132;0.101;0.087
3.5;0.209;0.148;0.112;0.094
4.0;0.227;0.163;0.123;0.101
45;0.248;0.178;0.134;0.108
5.0;0.270;0.194;0.146;0.115
5.5;0.290;0.210;0.159;0.123
6.0;0.313;0.227;0.171;0.130
6.5;0.334;0.244;0.183;0.137
7.0;0.356;0.262;0.202;0.144
7.5;0.378;0.279;0.210;0.152
8.0;0.401;0.297;0.223;0.159
8.5;0.421;0.317;0.232;0.167
9.0;0.446;0.331;0.244;0.173
9.5;0.471;0.349;0.261;0.180
10.0;0.501;0.369;0.273;0.189
10.5;0.518;0.386;0.288;0.198
11.0;0.544;0.407;0.303;0.206
11.5;0.565;0.427;0.318;0.215
12.0;0.592;0.443;0.331;0.221
12.5;0.615;0.462;0.346;0.231
13.0;0.638;0.482;0.357;0.239
13.5;0.664;0.500;0371;0.245
14.0;0.690;0.519;0.383;0.254
14.5;0.715;0.539;0.396;0.262
15.0;0.738;0.558;0.416;0.272
15.5;0.765;0.578;0.424;0.279
16.0;0.792;0.596;0.440;0.288
