AtomicNumber	Symbol	E1	E2	E3	E4
1	H	1312			
2	He	2372	5251		
3	Li	520.3	7298	11815	
4	Be	899.5	1757	14849	21007
5	B	800.7	2427	3660	25026
6	C	1086	2353	4621	6223
7	N	1402	2856	7475	9445
8	O	1314	3388	5301	7469
9	F	1681	3374	6051	8408
10	Ne	2081	3952	6122	9370
11	Na	495.9	4563	6913	9544
12	Mg	737.8	1451	7733	11541
13	Al	577.6	1817	2745	11578
14	Si	786.5	1577	3232	4356
15	P	1012	1903	2912	4957
16	S	999.6	2251	3361	4564
17	Cl	1251	2297	3822	5158
18	Ar	1521	2666	3931	5771
19	K	418.9	3051	4412	5877
20	Ca	589.8	1145	4912	6474
21	Sc	631	1235	2389	7089
22	Ti	658	1310	2653	4175
23	V	650	1414	2828	4507
24	Cr	652.9	1592	2987	4740
25	Mn	717.4	1509	3249	4940
26	Fe	759.4	1561	2958	5290
27	Co	758	1646	3232	4950
28	Ni	736.7	1753	3394	5300
29	Cu	745.5	1958	3554	5330
30	Zn	906.4	1733	3833	5730
31	Ga	578.8	1979	2963	6200
32	Ge	762.2	1537	3302	4411
33	As	947	1798	2736	4837
34	Se	941	2045	2974	4144
35	Br	1140	2100	3500	4560
36	Kr	1351	2368	3565	5070
37	Rb	403	2632	3900	5080
38	Sr	549.5	1064	4210	5500
39	Y	616	1181	1980	5960
40	Zr	660	1267	2218	3313
41	Nb	664	1382	2416	3700
42	Mo	685	1558	2621	4480
43	Tc	702	1472	2850	
44	Ru	711	1617	2747	
45	Rh	720	1745	2997	
46	Pd	805	1875	3177	
47	Ag	731	2074	3361	
48	Cd	867.7	1631	3616	
49	In	558.3	1821	2705	5200
50	Sn	708.6	1412	2943	3930
51	Sb	833.8	1595	2440	4260
52	Te	869.3	1790	2698	3610
53	I	1008	1846	3200	
54	Xe	1170	2047	3100	
55	Cs	375.7	2420	
56	Ba	502.9	965.3		
57	La	538.1	1067	1.850	4.820
58	Ce	527.4	1047	1.949	3.547
59	Pr	523.2	1018	2.086	3.761
60	Nd	529.6	1035	2.130	3.899
61	Pm	535.9	1052	2.150	3.970
62	Sm	543.3	1068	2.260	3.990
63	Eu	546.7	1085	2.405	4.110
64	Gd	592.6	1167	1.991	4.250
65	Tb	564.7	1112	2.114	3.839
66	Dy	571.9	1126	2.200	4.001
67	Ho	580.7	1139	2.204	4.100
68	Er	588.7	1151	2.194	4.115
69	Tm	596.7	1163	2.544	4.119
70	Yb	603.4	1176	2.415	4.220
71	Lu	523.6	1340	2.022	4.360
72	Hf	680	1440	2.250	3.215
73	Ta	761			
74	W	770			
75	Re	760			
76	Os	840			
77	Ir	880			
78	Pt	870	1791		
79	Au	890.1	1980		
80	Hg	1007	1810	3300	
81	Tl	589.4	1971	2878	
82	Pb	715.6	1450	3082	4083
83	Bi	703.3	1610	2466	4370
84	Po	812			
85	At	890			
86	Rn	1037			
87	Fr	384			
88	Ra	509.4	971.9		
89	Ac	499			
90	Th	587			
91	Pa	568			
92	U	584			
93	Np	597			
94	Pu	585			
95	Am	578			
96	Cm	581			
97	Bk	601			
98	Cf	608			
99	Es	619			
100	Fm	627			
101	Md	635			
102	No	642	
