sample_id,emission_589_nm,emission_671_nm,emission_766_nm,ion
Na_01,91.37,14.86,9.71,Na
Na_02,89.16,8.68,14.60,Na
Na_03,85.72,16.30,9.55,Na
Na_04,85.25,13.61,14.07,Na
Na_05,88.06,9.16,10.32,Na
Na_06,90.56,16.66,13.40,Na
Na_07,89.87,12.11,10.79,Na
Na_08,87.10,11.42,12.98,Na
Na_09,85.61,15.20,11.47,Na
Na_10,86.96,11.24,11.74,Na
Na_11,89.34,14.32,13.34,Na
Na_12,90.02,12.54,9.47,Na
Na_13,88.43,11.50,15.51,Na
Na_14,86.50,16.46,8.06,Na
Na_15,86.32,9.95,15.59,Na
Na_16,87.95,12.72,9.57,Na
Na_17,89.58,16.85,12.65,Na
Na_18,89.49,8.73,13.36,Na
Na_19,87.76,14.17,8.88,Na
Na_20,86.24,15.41,16.22,Na
Li_01,17.37,87.86,8.71,Li
Li_02,15.16,81.68,13.60,Li
Li_03,11.72,89.30,8.55,Li
Li_04,11.25,86.61,13.07,Li
Li_05,14.06,82.16,9.32,Li
Li_06,16.56,89.66,12.40,Li
Li_07,15.87,85.11,9.79,Li
Li_08,13.10,84.42,11.98,Li
Li_09,11.61,88.20,10.47,Li
Li_10,12.96,84.24,10.74,Li
Li_11,15.34,87.32,12.34,Li
Li_12,16.02,85.54,8.47,Li
Li_13,14.43,84.50,14.51,Li
Li_14,12.50,89.46,7.06,Li
Li_15,12.32,82.95,14.59,Li
Li_16,13.95,85.72,8.57,Li
Li_17,15.58,89.85,11.65,Li
Li_18,15.49,81.73,12.36,Li
Li_19,13.76,87.17,7.88,Li
Li_20,12.24,88.41,15.22,Li
K_01,15.37,15.86,87.71,K
K_02,13.16,9.68,92.60,K
K_03,9.72,17.30,87.55,K
K_04,9.25,14.61,92.07,K
K_05,12.06,10.16,88.32,K
K_06,14.56,17.66,91.40,K
K_07,13.87,13.11,88.79,K
K_08,11.10,12.42,90.98,K
K_09,9.61,16.20,89.47,K
K_10,10.96,12.24,89.74,K
K_11,13.34,15.32,91.34,K
K_12,14.02,13.54,87.47,K
K_13,12.43,12.50,93.51,K
K_14,10.50,17.46,86.06,K
K_15,10.32,10.95,93.59,K
K_16,11.95,13.72,87.57,K
K_17,13.58,17.85,90.65,K
K_18,13.49,9.73,91.36,K
K_19,11.76,15.17,86.88,K
K_20,10.24,16.41,94.22,K
