sample_id,sample_type,concentration_uM,replicate,absorbance
blank_1,blank,0,1,0.010
blank_2,blank,0,2,0.011
std_2_1,standard,2,1,0.171
std_2_2,standard,2,2,0.169
std_2_3,standard,2,3,0.172
std_4_1,standard,4,1,0.329
std_4_2,standard,4,2,0.331
std_4_3,standard,4,3,0.328
std_6_1,standard,6,1,0.489
std_6_2,standard,6,2,0.491
std_6_3,standard,6,3,
std_8_1,standard,8,1,0.648
std_8_2,standard,8,2,0.652
std_8_3,standard,8,3,0.650
std_10_1,standard,10,1,0.807
std_10_2,standard,10,2,0.812
std_10_3,standard,10,3,0.809
unknown_1,unknown,,1,0.603
unknown_2,unknown,,2,0.606
unknown_3,unknown,,3,0.604
